,RejectRate,n,Power,SamplingScheme,Count
167,0.0,31622,0.35,True,200
168,0.0,31622,0.4,False,200
169,0.0,31622,0.4,True,200
170,0.0,31622,0.45,False,200
171,0.0,31622,0.45,True,200
172,0.0,31622,0.5,False,200
173,0.0,31622,0.5,True,200
174,0.0,31622,0.55,False,200
175,0.0,31622,0.55,True,200
176,0.0,31622,0.6,False,200
177,0.0,31622,0.6,True,200
178,0.0,31622,0.65,False,200
179,0.0,31622,0.65,True,200
180,0.0,31622,0.7,False,200
181,0.0,31622,0.7,True,200
182,0.0,31622,0.75,False,200
183,0.0,31622,0.75,True,200
184,1.0,31622,0.8,False,200
185,0.0,31622,0.8,True,200
186,1.0,31622,0.85,False,200
187,0.0,31622,0.85,True,200
188,1.0,31622,0.9,False,200
189,0.0,31622,0.9,True,200
190,1.0,31622,0.95,False,200
191,0.0,31622,0.95,True,200
192,0.0,100000,0.2,False,200
193,0.0,100000,0.2,True,200
194,0.0,100000,0.25,False,200
195,0.0,100000,0.25,True,200
196,0.0,100000,0.3,False,200
197,0.0,100000,0.3,True,200
198,0.0,100000,0.35,False,200
199,0.0,100000,0.35,True,200
200,0.0,100000,0.4,False,200
201,0.0,100000,0.4,True,200
202,0.0,100000,0.45,False,200
203,0.0,100000,0.45,True,200
204,0.0,100000,0.5,False,200
205,0.0,100000,0.5,True,200
206,0.0,100000,0.55,False,200
207,0.0,100000,0.55,True,200
208,0.0,100000,0.6,False,200
209,0.0,100000,0.6,True,200
210,0.0,100000,0.65,False,200
211,0.0,100000,0.65,True,200
212,0.0,100000,0.7,False,200
213,0.0,100000,0.7,True,200
214,0.0,100000,0.75,False,200
215,0.0,100000,0.75,True,200
216,0.0,100000,0.8,False,200
217,0.0,100000,0.8,True,200
218,1.0,100000,0.85,False,200
219,0.0,100000,0.85,True,200
220,1.0,100000,0.9,False,200
221,0.0,100000,0.9,True,200
222,1.0,100000,0.95,False,200
223,0.0,100000,0.95,True,200
