,alpha,Policy_Effect,Type,Lower,Upper,alpha_mmd,Policy_Effect_mmd,Type_mmd,Lower_mmd,Upper_mmd,mean_effect,Policy_Effect_me,Lower_me,Upper_me
0,0.042,1.0,MMD Test,0.030833402249531076,0.05635796230591598,0.031,1.0,MMD Test,0.021704625332350406,0.04384156049390048,0.0001332673735776741,1.0,-0.00023703397526723895,0.0005035687224225872
1,0.06,8.8,MMD Test,0.04639371903764775,0.07637808231787208,0.235,8.8,MMD Test,0.2094101220784338,0.2624281886289615,-1.9030169182651435e-05,8.8,-0.0008868099686899779,0.0008487496303246749
2,0.048,16.6,MMD Test,0.035966075447554556,0.06334633037999089,0.358,16.6,MMD Test,0.32844596259894143,0.3884659777850359,-0.001936046497183253,16.6,-0.0028875845394054187,-0.0009845084549610873
3,0.03,24.4,MMD Test,0.0208414615298878,0.04236877622621135,0.443,24.4,MMD Test,0.4120871136110232,0.4739926009788433,0.00011919388546337104,24.4,-0.0008108544508824738,0.0010492422218092159
4,0.06,32.2,MMD Test,0.04639371903764775,0.07637808231787208,0.497,32.2,MMD Test,0.4659902389362429,0.5280079846454093,-0.0002582274659554701,32.2,-0.0013378445690777634,0.000821389637166823
5,0.06,40.0,MMD Test,0.04639371903764775,0.07637808231787208,0.53,40.0,MMD Test,0.4989997184812708,0.5610183323163376,-0.00044831637403544946,40.0,-0.0014615615956476823,0.0005649288475767833
