,alpha,Policy_Effect,Type,Lower,Upper,alpha_mmd,Policy_Effect_mmd,Type_mmd,Lower_mmd,Upper_mmd,mean_effect,Policy_Effect_me,Lower_me,Upper_me
0,0.025,0.0,Wilcoxon Test,0.016856884509345905,0.03683448067818891,0.055,0.0,Wilcoxon Test,0.042368775900283734,0.07087234366626519,-0.0030905226227309654,0.0,-0.004908208526754556,-0.0012728367187073747
1,0.07,0.1,Wilcoxon Test,0.055347480401591626,0.08785613861005305,0.055,0.1,Wilcoxon Test,0.042368775900283734,0.07087234366626519,0.13754137664074204,0.1,0.13565634669741347,0.1394264065840706
2,0.336,0.2,Wilcoxon Test,0.30693867050034357,0.3659607700236901,0.047,0.2,Wilcoxon Test,0.03536235238462969,0.061871165465472285,0.2709073746212307,0.2,0.26882963301031343,0.272985116232148
3,0.657,0.30000000000000004,Wilcoxon Test,0.6270358939083238,0.6860560748862807,0.14,0.30000000000000004,Wilcoxon Test,0.11937312761120615,0.1629011051840857,0.3789860316715367,0.30000000000000004,0.3772151221672401,0.3807569411758333
4,0.916,0.4,Wilcoxon Test,0.8971209959850523,0.932151800312536,0.328,0.4,Wilcoxon Test,0.2994417385176249,0.3579566584310463,0.47422141531020484,0.4,0.47224497480702116,0.4761978558133885
5,0.993,0.5,Wilcoxon Test,0.9856645239288471,0.9967102125993531,0.361,0.5,Wilcoxon Test,0.3314479314908764,0.3914672867700201,0.5479880176730381,0.5,0.5461262309882339,0.5498498043578423
