,alpha,Policy_Effect,Type,Lower,Upper,mean_effect,Policy_Effect_me,Lower_me,Upper_me
0,0.014,0.0,Wilcoxon Test,0.008141827259447796,0.023344472343884114,-9.553105963486158e-06,0.0,-0.00031762238352303726,0.0002985161715960649
1,0.378,0.1,Wilcoxon Test,0.34795102572253245,0.40847409330890483,0.13930261916779135,0.1,0.13897629935173575,0.13962893898384696
2,0.873,0.2,Wilcoxon Test,0.8506151651035778,0.8926269569263874,0.268051619291501,0.2,0.267651365440981,0.268451873142021
3,0.986,0.30000000000000004,Wilcoxon Test,0.976655527656116,0.9918581727405523,0.37805786155507815,0.30000000000000004,0.37761475362701935,0.37850096948313694
4,1.0,0.4,Wilcoxon Test,0.9962366342889944,1.0,0.47339837486836017,0.4,0.4729049425658674,0.47389180717085294
5,1.0,0.5,Wilcoxon Test,0.9962366342889944,1.0,0.5491241845917575,0.5,0.5484854540017353,0.5497629151817797
